Book ID	Num Text Examples	Average Words Per Example
10136	38498	13.34
1041	970	17.93
10540	3283	21.94
108	5872	18.93
11667	3312	27.95
1184	22062	20.78
11	1348	19.44
12176	1467	19.44
12434	2796	15.11
12544	4081	21.60
13110	2634	17.49
13158	3440	15.99
13441	4149	15.22
1353	4889	20.46
135	37263	15.07
1399	18916	18.41
14420	6950	26.56
14566	3810	20.44
1477	2526	22.29
14958	1495	18.12
15263	21088	19.11
15265	7647	14.02
1549	5439	15.55
1572	2884	24.87
1597	3586	15.25
1608	3605	18.20
16127	3588	17.11
16653	7603	20.17
18096	2384	26.95
1827	4808	19.17
19019	3248	13.90
19215	13542	16.54
19717	3762	20.70
1989	1105	10.41
1998	8927	12.36
20019	966	16.91
2002	239	21.68
20212	3364	12.98
209	2090	20.00
21297	4165	21.52
22002	4044	25.99
2300	22202	13.86
24585	1789	20.72
24811	2399	13.08
2488	8239	17.45
24	3537	15.47
2529	3934	22.38
26177	3598	15.41
26379	379	30.67
2681	8872	20.96
27067	3149	21.42
27090	3217	24.93
2770	3750	18.35
2787	4603	22.22
28700	5547	16.53
28725	3899	17.54
28952	2909	19.72
2981	54306	23.13
3076	7145	16.98
30905	2140	15.60
3178	8455	18.64
33800	5145	19.76
33	3569	23.19
3436	5899	26.01
3440	5087	26.46
3441	6043	28.12
36508	522	20.08
3748	4767	15.36
38675	2696	20.89
38804	5653	16.26
39159	2729	19.93
4028	9634	19.39
40359	7821	21.33
41326	6181	13.88
4217	6003	13.93
4276	10461	17.27
434	4319	16.14
4602	4422	27.77
507	9093	23.42
540	5452	22.68
5516	4964	24.08
5630	1132	20.95
574	452	13.87
5921	6040	35.69
6328	5926	23.42
6812	5840	21.28
732	22980	12.71
76	6460	17.05
7891	1476	14.41
8166	3190	20.91
820	11054	23.55
833	3638	28.62
9189	8387	18.51
940	6172	23.84
9464	1695	23.26
94	1722	16.02
955	3051	18.50
969	7799	21.53
9983	8898	19.01
